Food_ID,m49code,country,region,cpc_code,commodity,year,loss_percentage,activity,food_supply_stage,cause_of_loss,,,,,,,
44,108,Burundi,,112,Maize (corn),2001,5.26375,Storage,Farm,,,,,,,,
45,108,Burundi,,112,Maize (corn),2001,1.32,"Shelling, Threshing",,,,,,,,,
46,108,Burundi,,113,Rice,2001,3.13714,"Shelling, Threshing",,,,,,,,,
47,108,Burundi,,113,Rice,2001,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
48,108,Burundi,,113,Rice,2001,2.5,Winnowing,Farm,,,,,,,,
49,108,Burundi,,113,Rice,2001,1.25,Transportation,Farm,,,,,,,,
50,108,Burundi,,113,Rice,2001,1.2,Storage,Farm,,,,,,,,
51,108,Burundi,,114,Sorghum,2001,2.16667,Transportation,Farm,,,,,,,,
52,108,Burundi,,114,Sorghum,2001,2.69444,Storage,Farm,,,,,,,,
53,108,Burundi,,114,Sorghum,2001,4.55,"Drying, Harvesting",Harvest,,,,,,,,
54,108,Burundi,,114,Sorghum,2001,3.6,"Shelling, Threshing",,,,,,,,,
55,108,Burundi,,118,Millet,2001,2.5,Transportation,Farm,,,,,,,,
56,108,Burundi,,118,Millet,2001,2,"Shelling, Threshing",,,,,,,,,
57,108,Burundi,,118,Millet,2001,3.5,"Drying, Harvesting",Harvest,,,,,,,,
58,108,Burundi,,118,Millet,2001,2.5,Winnowing,Farm,,,,,,,,
59,108,Burundi,,118,Millet,2001,1.175,Storage,Farm,,,,,,,,
60,108,Burundi,,111,Wheat,2002,3.5,"Shelling, Threshing",,,,,,,,,
61,108,Burundi,,111,Wheat,2002,2.5,Transportation,Farm,,,,,,,,
62,108,Burundi,,111,Wheat,2002,4.86667,Storage,Farm,,,,,,,,
63,108,Burundi,,111,Wheat,2002,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
64,108,Burundi,,112,Maize (corn),2002,2.35714,Transportation,Farm,,,,,,,,
65,108,Burundi,,112,Maize (corn),2002,6.42,"Drying, Harvesting",Harvest,,,,,,,,
66,108,Burundi,,112,Maize (corn),2002,4,Drying,Farm,,,,,,,,
67,108,Burundi,,112,Maize (corn),2002,5.26375,Storage,Farm,,,,,,,,
68,108,Burundi,,112,Maize (corn),2002,1.32,"Shelling, Threshing",,,,,,,,,
69,108,Burundi,,113,Rice,2002,3.13714,"Shelling, Threshing",,,,,,,,,
70,108,Burundi,,113,Rice,2002,2.5,Winnowing,Farm,,,,,,,,
71,108,Burundi,,113,Rice,2002,1.2,Storage,Farm,,,,,,,,
72,108,Burundi,,113,Rice,2002,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
73,108,Burundi,,113,Rice,2002,1.25,Transportation,Farm,,,,,,,,
74,108,Burundi,,114,Sorghum,2002,2.69444,Storage,Farm,,,,,,,,
75,108,Burundi,,114,Sorghum,2002,4.55,"Drying, Harvesting",Harvest,,,,,,,,
76,108,Burundi,,114,Sorghum,2002,3.6,"Shelling, Threshing",,,,,,,,,
77,108,Burundi,,114,Sorghum,2002,2.16667,Transportation,Farm,,,,,,,,
78,108,Burundi,,118,Millet,2002,2.5,Transportation,Farm,,,,,,,,
79,108,Burundi,,118,Millet,2002,2.5,Winnowing,Farm,,,,,,,,
80,108,Burundi,,118,Millet,2002,2,"Shelling, Threshing",,,,,,,,,
81,108,Burundi,,118,Millet,2002,1.175,Storage,Farm,,,,,,,,
82,108,Burundi,,118,Millet,2002,3.5,"Drying, Harvesting",Harvest,,,,,,,,
83,108,Burundi,,111,Wheat,2003,2.5,Transportation,Farm,,,,,,,,
84,108,Burundi,,111,Wheat,2003,4.86667,Storage,Farm,,,,,,,,
85,108,Burundi,,111,Wheat,2003,3.5,"Shelling, Threshing",,,,,,,,,
86,108,Burundi,,111,Wheat,2003,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
87,108,Burundi,,112,Maize (corn),2003,6.42,"Drying, Harvesting",Harvest,,,,,,,,
88,108,Burundi,,112,Maize (corn),2003,2.35714,Transportation,Farm,,,,,,,,
89,108,Burundi,,112,Maize (corn),2003,4,Drying,Farm,,,,,,,,
90,108,Burundi,,112,Maize (corn),2003,1.32,"Shelling, Threshing",,,,,,,,,
91,108,Burundi,,112,Maize (corn),2003,5.26375,Storage,Farm,,,,,,,,
92,108,Burundi,,113,Rice,2003,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
93,108,Burundi,,113,Rice,2003,3.13714,"Shelling, Threshing",,,,,,,,,
94,108,Burundi,,113,Rice,2003,2.5,Winnowing,Farm,,,,,,,,
95,108,Burundi,,113,Rice,2003,1.2,Storage,Farm,,,,,,,,
96,108,Burundi,,113,Rice,2003,1.25,Transportation,Farm,,,,,,,,
97,108,Burundi,,114,Sorghum,2003,3.6,"Shelling, Threshing",,,,,,,,,
98,108,Burundi,,114,Sorghum,2003,4.55,"Drying, Harvesting",Harvest,,,,,,,,
99,108,Burundi,,114,Sorghum,2003,2.69444,Storage,Farm,,,,,,,,
100,108,Burundi,,114,Sorghum,2003,2.16667,Transportation,Farm,,,,,,,,
101,108,Burundi,,118,Millet,2003,3.5,"Drying, Harvesting",Harvest,,,,,,,,
102,108,Burundi,,118,Millet,2003,1.175,Storage,Farm,,,,,,,,
103,108,Burundi,,118,Millet,2003,2.5,Winnowing,Farm,,,,,,,,
104,108,Burundi,,118,Millet,2003,2.5,Transportation,Farm,,,,,,,,
105,108,Burundi,,118,Millet,2003,2,"Shelling, Threshing",,,,,,,,,
106,108,Burundi,,111,Wheat,2004,3.5,"Shelling, Threshing",,,,,,,,,
107,108,Burundi,,111,Wheat,2004,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
108,108,Burundi,,111,Wheat,2004,4.86667,Storage,Farm,,,,,,,,
109,108,Burundi,,111,Wheat,2004,2.5,Transportation,Farm,,,,,,,,
110,108,Burundi,,112,Maize (corn),2004,2.35714,Transportation,Farm,,,,,,,,
111,108,Burundi,,112,Maize (corn),2004,1.32,"Shelling, Threshing",,,,,,,,,
112,108,Burundi,,112,Maize (corn),2004,4,Drying,Farm,,,,,,,,
113,108,Burundi,,112,Maize (corn),2004,5.26375,Storage,Farm,,,,,,,,
114,108,Burundi,,112,Maize (corn),2004,6.42,"Drying, Harvesting",Harvest,,,,,,,,
115,108,Burundi,,113,Rice,2004,1.2,Storage,Farm,,,,,,,,
116,108,Burundi,,113,Rice,2004,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
117,108,Burundi,,113,Rice,2004,3.13714,"Shelling, Threshing",,,,,,,,,
118,108,Burundi,,113,Rice,2004,1.25,Transportation,Farm,,,,,,,,
119,108,Burundi,,113,Rice,2004,2.5,Winnowing,Farm,,,,,,,,
120,108,Burundi,,114,Sorghum,2004,2.69444,Storage,Farm,,,,,,,,
121,108,Burundi,,114,Sorghum,2004,4.55,"Drying, Harvesting",Harvest,,,,,,,,
122,108,Burundi,,114,Sorghum,2004,3.6,"Shelling, Threshing",,,,,,,,,
123,108,Burundi,,114,Sorghum,2004,2.16667,Transportation,Farm,,,,,,,,
124,108,Burundi,,118,Millet,2004,2,"Shelling, Threshing",,,,,,,,,
125,108,Burundi,,118,Millet,2004,3.5,"Drying, Harvesting",Harvest,,,,,,,,
126,108,Burundi,,118,Millet,2004,1.175,Storage,Farm,,,,,,,,
127,108,Burundi,,118,Millet,2004,2.5,Winnowing,Farm,,,,,,,,
128,108,Burundi,,118,Millet,2004,2.5,Transportation,Farm,,,,,,,,
129,108,Burundi,,111,Wheat,2005,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
130,108,Burundi,,111,Wheat,2005,4.86667,Storage,Farm,,,,,,,,
131,108,Burundi,,111,Wheat,2005,2.5,Transportation,Farm,,,,,,,,
132,108,Burundi,,111,Wheat,2005,3.5,"Shelling, Threshing",,,,,,,,,
133,108,Burundi,,112,Maize (corn),2005,5.26375,Storage,Farm,,,,,,,,
134,108,Burundi,,112,Maize (corn),2005,6.42,"Drying, Harvesting",Harvest,,,,,,,,
135,108,Burundi,,112,Maize (corn),2005,2.35714,Transportation,Farm,,,,,,,,
136,108,Burundi,,112,Maize (corn),2005,4,Drying,Farm,,,,,,,,
137,108,Burundi,,112,Maize (corn),2005,1.32,"Shelling, Threshing",,,,,,,,,
138,108,Burundi,,113,Rice,2005,1.2,Storage,Farm,,,,,,,,
139,108,Burundi,,113,Rice,2005,1.25,Transportation,Farm,,,,,,,,
140,108,Burundi,,113,Rice,2005,2.5,Winnowing,Farm,,,,,,,,
141,108,Burundi,,113,Rice,2005,3.13714,"Shelling, Threshing",,,,,,,,,
142,108,Burundi,,113,Rice,2005,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
143,108,Burundi,,114,Sorghum,2005,2.16667,Transportation,Farm,,,,,,,,
144,108,Burundi,,114,Sorghum,2005,2.69444,Storage,Farm,,,,,,,,
145,108,Burundi,,114,Sorghum,2005,3.6,"Shelling, Threshing",,,,,,,,,
146,108,Burundi,,114,Sorghum,2005,4.55,"Drying, Harvesting",Harvest,,,,,,,,
147,108,Burundi,,118,Millet,2005,2,"Shelling, Threshing",,,,,,,,,
148,108,Burundi,,118,Millet,2005,3.5,"Drying, Harvesting",Harvest,,,,,,,,
149,108,Burundi,,118,Millet,2005,2.5,Transportation,Farm,,,,,,,,
150,108,Burundi,,118,Millet,2005,2.5,Winnowing,Farm,,,,,,,,
151,108,Burundi,,118,Millet,2005,1.175,Storage,Farm,,,,,,,,
152,108,Burundi,,111,Wheat,2006,2.5,Transportation,Farm,,,,,,,,
153,108,Burundi,,111,Wheat,2006,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
154,108,Burundi,,111,Wheat,2006,3.5,"Shelling, Threshing",,,,,,,,,
155,108,Burundi,,111,Wheat,2006,4.86667,Storage,Farm,,,,,,,,
156,108,Burundi,,112,Maize (corn),2006,1.32,"Shelling, Threshing",,,,,,,,,
157,108,Burundi,,112,Maize (corn),2006,2.35714,Transportation,Farm,,,,,,,,
158,108,Burundi,,112,Maize (corn),2006,4,Drying,Farm,,,,,,,,
159,108,Burundi,,112,Maize (corn),2006,6.42,"Drying, Harvesting",Harvest,,,,,,,,
160,108,Burundi,,112,Maize (corn),2006,5.26375,Storage,Farm,,,,,,,,
161,108,Burundi,,113,Rice,2006,1.2,Storage,Farm,,,,,,,,
162,108,Burundi,,113,Rice,2006,2.5,Winnowing,Farm,,,,,,,,
163,108,Burundi,,113,Rice,2006,1.25,Transportation,Farm,,,,,,,,
164,108,Burundi,,113,Rice,2006,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
165,108,Burundi,,113,Rice,2006,3.13714,"Shelling, Threshing",,,,,,,,,
166,108,Burundi,,114,Sorghum,2006,4.55,"Drying, Harvesting",Harvest,,,,,,,,
167,108,Burundi,,114,Sorghum,2006,2.16667,Transportation,Farm,,,,,,,,
168,108,Burundi,,114,Sorghum,2006,3.6,"Shelling, Threshing",,,,,,,,,
169,108,Burundi,,114,Sorghum,2006,2.69444,Storage,Farm,,,,,,,,
170,108,Burundi,,118,Millet,2006,2.5,Winnowing,Farm,,,,,,,,
171,108,Burundi,,118,Millet,2006,1.175,Storage,Farm,,,,,,,,
172,108,Burundi,,118,Millet,2006,2,"Shelling, Threshing",,,,,,,,,
173,108,Burundi,,118,Millet,2006,2.5,Transportation,Farm,,,,,,,,
174,108,Burundi,,118,Millet,2006,3.5,"Drying, Harvesting",Harvest,,,,,,,,
175,108,Burundi,,111,Wheat,2007,4.86667,Storage,Farm,,,,,,,,
176,108,Burundi,,111,Wheat,2007,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
177,108,Burundi,,111,Wheat,2007,2.5,Transportation,Farm,,,,,,,,
178,108,Burundi,,111,Wheat,2007,3.5,"Shelling, Threshing",,,,,,,,,
179,108,Burundi,,112,Maize (corn),2007,4,Drying,Farm,,,,,,,,
180,108,Burundi,,112,Maize (corn),2007,6.42,"Drying, Harvesting",Harvest,,,,,,,,
181,108,Burundi,,112,Maize (corn),2007,2.35714,Transportation,Farm,,,,,,,,
182,108,Burundi,,112,Maize (corn),2007,5.26375,Storage,Farm,,,,,,,,
183,108,Burundi,,112,Maize (corn),2007,1.32,"Shelling, Threshing",,,,,,,,,
184,108,Burundi,,113,Rice,2007,3.13714,"Shelling, Threshing",,,,,,,,,
185,108,Burundi,,113,Rice,2007,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
186,108,Burundi,,113,Rice,2007,1.25,Transportation,Farm,,,,,,,,
187,108,Burundi,,113,Rice,2007,1.2,Storage,Farm,,,,,,,,
188,108,Burundi,,113,Rice,2007,2.5,Winnowing,Farm,,,,,,,,
189,108,Burundi,,114,Sorghum,2007,3.6,"Shelling, Threshing",,,,,,,,,
190,108,Burundi,,114,Sorghum,2007,2.69444,Storage,Farm,,,,,,,,
191,108,Burundi,,114,Sorghum,2007,2.16667,Transportation,Farm,,,,,,,,
192,108,Burundi,,114,Sorghum,2007,4.55,"Drying, Harvesting",Harvest,,,,,,,,
193,108,Burundi,,118,Millet,2007,3.5,"Drying, Harvesting",Harvest,,,,,,,,
194,108,Burundi,,118,Millet,2007,2,"Shelling, Threshing",,,,,,,,,
195,108,Burundi,,118,Millet,2007,2.5,Winnowing,Farm,,,,,,,,
196,108,Burundi,,118,Millet,2007,2.5,Transportation,Farm,,,,,,,,
197,108,Burundi,,118,Millet,2007,1.175,Storage,Farm,,,,,,,,
198,108,Burundi,,111,Wheat,2008,4.86667,Storage,Farm,,,,,,,,
199,108,Burundi,,111,Wheat,2008,2.5,Transportation,Farm,,,,,,,,
200,108,Burundi,,111,Wheat,2008,3.5,"Shelling, Threshing",,,,,,,,,
201,108,Burundi,,111,Wheat,2008,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
202,108,Burundi,,112,Maize (corn),2008,5.26375,Storage,Farm,,,,,,,,
203,108,Burundi,,112,Maize (corn),2008,1.32,"Shelling, Threshing",,,,,,,,,
204,108,Burundi,,112,Maize (corn),2008,6.42,"Drying, Harvesting",Harvest,,,,,,,,
205,108,Burundi,,112,Maize (corn),2008,2.35714,Transportation,Farm,,,,,,,,
206,108,Burundi,,112,Maize (corn),2008,4,Drying,Farm,,,,,,,,
207,108,Burundi,,113,Rice,2008,1.25,Transportation,Farm,,,,,,,,
208,108,Burundi,,113,Rice,2008,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
209,108,Burundi,,113,Rice,2008,3.13714,"Shelling, Threshing",,,,,,,,,
210,108,Burundi,,113,Rice,2008,2.5,Winnowing,Farm,,,,,,,,
211,108,Burundi,,113,Rice,2008,1.2,Storage,Farm,,,,,,,,
212,108,Burundi,,114,Sorghum,2008,3.6,"Shelling, Threshing",,,,,,,,,
213,108,Burundi,,114,Sorghum,2008,2.69444,Storage,Farm,,,,,,,,
214,108,Burundi,,114,Sorghum,2008,4.55,"Drying, Harvesting",Harvest,,,,,,,,
215,108,Burundi,,114,Sorghum,2008,2.16667,Transportation,Farm,,,,,,,,
216,108,Burundi,,118,Millet,2008,2.5,Transportation,Farm,,,,,,,,
217,108,Burundi,,118,Millet,2008,3.5,"Drying, Harvesting",Harvest,,,,,,,,
218,108,Burundi,,118,Millet,2008,1.175,Storage,Farm,,,,,,,,
219,108,Burundi,,118,Millet,2008,2,"Shelling, Threshing",,,,,,,,,
220,108,Burundi,,118,Millet,2008,2.5,Winnowing,Farm,,,,,,,,
221,108,Burundi,,111,Wheat,2009,3.5,"Shelling, Threshing",,,,,,,,,
222,108,Burundi,,111,Wheat,2009,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
223,108,Burundi,,111,Wheat,2009,2.5,Transportation,Farm,,,,,,,,
224,108,Burundi,,111,Wheat,2009,4.86667,Storage,Farm,,,,,,,,
225,108,Burundi,,112,Maize (corn),2009,4,Drying,Farm,,,,,,,,
226,108,Burundi,,112,Maize (corn),2009,1.32,"Shelling, Threshing",,,,,,,,,
227,108,Burundi,,112,Maize (corn),2009,5.26375,Storage,Farm,,,,,,,,
228,108,Burundi,,112,Maize (corn),2009,6.42,"Drying, Harvesting",Harvest,,,,,,,,
229,108,Burundi,,112,Maize (corn),2009,2.35714,Transportation,Farm,,,,,,,,
230,108,Burundi,,113,Rice,2009,1.25,Transportation,Farm,,,,,,,,
231,108,Burundi,,113,Rice,2009,1.2,Storage,Farm,,,,,,,,
232,108,Burundi,,113,Rice,2009,3.13714,"Shelling, Threshing",,,,,,,,,
233,108,Burundi,,113,Rice,2009,2.5,Winnowing,Farm,,,,,,,,
234,108,Burundi,,113,Rice,2009,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
235,108,Burundi,,114,Sorghum,2009,3.6,"Shelling, Threshing",,,,,,,,,
236,108,Burundi,,114,Sorghum,2009,2.69444,Storage,Farm,,,,,,,,
237,108,Burundi,,114,Sorghum,2009,2.16667,Transportation,Farm,,,,,,,,
238,108,Burundi,,114,Sorghum,2009,4.55,"Drying, Harvesting",Harvest,,,,,,,,
239,108,Burundi,,118,Millet,2009,2.5,Winnowing,Farm,,,,,,,,
240,108,Burundi,,118,Millet,2009,2,"Shelling, Threshing",,,,,,,,,
241,108,Burundi,,118,Millet,2009,1.175,Storage,Farm,,,,,,,,
242,108,Burundi,,118,Millet,2009,2.5,Transportation,Farm,,,,,,,,
243,108,Burundi,,118,Millet,2009,3.5,"Drying, Harvesting",Harvest,,,,,,,,
244,108,Burundi,,111,Wheat,2010,2.5,Transportation,Farm,,,,,,,,
245,108,Burundi,,111,Wheat,2010,4.86667,Storage,Farm,,,,,,,,
246,108,Burundi,,111,Wheat,2010,3.5,"Shelling, Threshing",,,,,,,,,
247,108,Burundi,,111,Wheat,2010,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
248,108,Burundi,,112,Maize (corn),2010,5.26375,Storage,Farm,,,,,,,,
249,108,Burundi,,112,Maize (corn),2010,2.35714,Transportation,Farm,,,,,,,,
250,108,Burundi,,112,Maize (corn),2010,1.32,"Shelling, Threshing",,,,,,,,,
251,108,Burundi,,112,Maize (corn),2010,6.42,"Drying, Harvesting",Harvest,,,,,,,,
252,108,Burundi,,112,Maize (corn),2010,4,Drying,Farm,,,,,,,,
253,108,Burundi,,113,Rice,2010,2.5,Winnowing,Farm,,,,,,,,
254,108,Burundi,,113,Rice,2010,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
255,108,Burundi,,113,Rice,2010,3.13714,"Shelling, Threshing",,,,,,,,,
256,108,Burundi,,113,Rice,2010,1.2,Storage,Farm,,,,,,,,
257,108,Burundi,,113,Rice,2010,1.25,Transportation,Farm,,,,,,,,
258,108,Burundi,,114,Sorghum,2010,3.6,"Shelling, Threshing",,,,,,,,,
259,108,Burundi,,114,Sorghum,2010,4.55,"Drying, Harvesting",Harvest,,,,,,,,
260,108,Burundi,,114,Sorghum,2010,2.16667,Transportation,Farm,,,,,,,,
261,108,Burundi,,114,Sorghum,2010,2.69444,Storage,Farm,,,,,,,,
262,108,Burundi,,118,Millet,2010,3.5,"Drying, Harvesting",Harvest,,,,,,,,
263,108,Burundi,,118,Millet,2010,2.5,Transportation,Farm,,,,,,,,
264,108,Burundi,,118,Millet,2010,2.5,Winnowing,Farm,,,,,,,,
265,108,Burundi,,118,Millet,2010,1.175,Storage,Farm,,,,,,,,
266,108,Burundi,,118,Millet,2010,2,"Shelling, Threshing",,,,,,,,,
267,108,Burundi,,111,Wheat,2011,3.5,"Shelling, Threshing",,,,,,,,,
268,108,Burundi,,111,Wheat,2011,4.86667,Storage,Farm,,,,,,,,
269,108,Burundi,,111,Wheat,2011,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
270,108,Burundi,,111,Wheat,2011,2.5,Transportation,Farm,,,,,,,,
271,108,Burundi,,112,Maize (corn),2011,5.26375,Storage,Farm,,,,,,,,
272,108,Burundi,,112,Maize (corn),2011,2.35714,Transportation,Farm,,,,,,,,
273,108,Burundi,,112,Maize (corn),2011,6.42,"Drying, Harvesting",Harvest,,,,,,,,
274,108,Burundi,,112,Maize (corn),2011,1.32,"Shelling, Threshing",,,,,,,,,
275,108,Burundi,,112,Maize (corn),2011,4,Drying,Farm,,,,,,,,
276,108,Burundi,,113,Rice,2011,1.2,Storage,Farm,,,,,,,,
277,108,Burundi,,113,Rice,2011,3.13714,"Shelling, Threshing",,,,,,,,,
278,108,Burundi,,113,Rice,2011,1.25,Transportation,Farm,,,,,,,,
279,108,Burundi,,113,Rice,2011,2.5,Winnowing,Farm,,,,,,,,
280,108,Burundi,,113,Rice,2011,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
281,108,Burundi,,114,Sorghum,2011,4.55,"Drying, Harvesting",Harvest,,,,,,,,
282,108,Burundi,,114,Sorghum,2011,2.16667,Transportation,Farm,,,,,,,,
283,108,Burundi,,114,Sorghum,2011,2.69444,Storage,Farm,,,,,,,,
284,108,Burundi,,114,Sorghum,2011,3.6,"Shelling, Threshing",,,,,,,,,
285,108,Burundi,,118,Millet,2011,2,"Shelling, Threshing",,,,,,,,,
286,108,Burundi,,118,Millet,2011,1.175,Storage,Farm,,,,,,,,
287,108,Burundi,,118,Millet,2011,2.5,Winnowing,Farm,,,,,,,,
288,108,Burundi,,118,Millet,2011,2.5,Transportation,Farm,,,,,,,,
289,108,Burundi,,118,Millet,2011,3.5,"Drying, Harvesting",Harvest,,,,,,,,
290,108,Burundi,,111,Wheat,2012,3.5,"Shelling, Threshing",,,,,,,,,
291,108,Burundi,,111,Wheat,2012,4.86667,Storage,Farm,,,,,,,,
292,108,Burundi,,111,Wheat,2012,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
293,108,Burundi,,111,Wheat,2012,2.5,Transportation,Farm,,,,,,,,
294,108,Burundi,,112,Maize (corn),2012,1.32,"Shelling, Threshing",,,,,,,,,
295,108,Burundi,,112,Maize (corn),2012,2.35714,Transportation,Farm,,,,,,,,
296,108,Burundi,,112,Maize (corn),2012,6.42,"Drying, Harvesting",Harvest,,,,,,,,
297,108,Burundi,,112,Maize (corn),2012,4,Drying,Farm,,,,,,,,
298,108,Burundi,,112,Maize (corn),2012,5.26375,Storage,Farm,,,,,,,,
299,108,Burundi,,113,Rice,2012,1.2,Storage,Farm,,,,,,,,
300,108,Burundi,,113,Rice,2012,1.25,Transportation,Farm,,,,,,,,
301,108,Burundi,,113,Rice,2012,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
302,108,Burundi,,113,Rice,2012,2.5,Winnowing,Farm,,,,,,,,
303,108,Burundi,,113,Rice,2012,3.13714,"Shelling, Threshing",,,,,,,,,
304,108,Burundi,,114,Sorghum,2012,2.16667,Transportation,Farm,,,,,,,,
305,108,Burundi,,114,Sorghum,2012,4.55,"Drying, Harvesting",Harvest,,,,,,,,
306,108,Burundi,,114,Sorghum,2012,3.6,"Shelling, Threshing",,,,,,,,,
307,108,Burundi,,114,Sorghum,2012,2.69444,Storage,Farm,,,,,,,,
308,108,Burundi,,118,Millet,2012,3.5,"Drying, Harvesting",Harvest,,,,,,,,
309,108,Burundi,,118,Millet,2012,1.175,Storage,Farm,,,,,,,,
310,108,Burundi,,118,Millet,2012,2.5,Winnowing,Farm,,,,,,,,
311,108,Burundi,,118,Millet,2012,2.5,Transportation,Farm,,,,,,,,
312,108,Burundi,,118,Millet,2012,2,"Shelling, Threshing",,,,,,,,,
313,108,Burundi,,111,Wheat,2013,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
314,108,Burundi,,111,Wheat,2013,3.5,"Shelling, Threshing",,,,,,,,,
315,108,Burundi,,111,Wheat,2013,4.86667,Storage,Farm,,,,,,,,
316,108,Burundi,,111,Wheat,2013,2.5,Transportation,Farm,,,,,,,,
317,108,Burundi,,112,Maize (corn),2013,2.35714,Transportation,Farm,,,,,,,,
318,108,Burundi,,112,Maize (corn),2013,5.26375,Storage,Farm,,,,,,,,
